source_word,target_word,last_attempt
okno,das Fenster,2025-07-15 10:17:39
podlaha,der Boden,2025-07-15 10:17:41
střecha,das Dach ,2025-07-15 10:17:43
půdorys,der Grundgriss,2025-07-15 10:17:47
sloup ,die Säule,2025-07-15 10:17:47
pomník,das Denkmal,2025-07-15 10:17:47
jezero,der See,2025-07-15 10:17:47
most,die Brücke,2025-07-15 10:17:48
zámek,das Schloss,2025-07-15 10:17:48
strom, tree,2025-07-15 10:38:58
tráva, grass,2025-07-15 10:39:00
písek, sand,2025-07-15 10:39:00
země, ground,2025-07-15 10:39:01
pěstovat, grow,2025-07-15 10:39:01
plot, fence,2025-07-15 10:39:01
zelenina, vegetables,2025-07-15 10:39:01
ovoce, fruit,2025-07-15 10:39:01
